pattern,model,category,n_hit,n_total,rate
加粗,gpt-4o-2024-11-20,analysis,96,135,0.7111
加粗,gpt-4o-2024-11-20,community_replication,42,90,0.4667
加粗,gpt-4o-2024-11-20,control_casual,23,54,0.4259
加粗,gpt-4o-2024-11-20,control_technical,55,72,0.7639
加粗,gpt-4o-2024-11-20,creative,20,135,0.1481
加粗,gpt-4o-2024-11-20,disagreement,0,90,0.0000
加粗,gpt-4o-2024-11-20,emotional_comfort,19,90,0.2111
加粗,gpt-4o-2024-11-20,meaning_existential,22,72,0.3056
加粗,gpt-4o-2024-11-20,procrastination,22,72,0.3056
加粗,gpt-4o-2024-11-20,refusal,5,99,0.0505
加粗,gpt-4o-2024-11-20,relationships,35,90,0.3889
加粗,gpt-4o-2024-11-20,self_doubt,23,90,0.2556
加粗,gpt-4o-2024-11-20,summarization,55,135,0.4074
加粗,gpt-4o-2024-11-20,tech_deliberation,119,135,0.8815
加粗,gpt-4o-2024-11-20,work_study,34,90,0.3778
加粗,gpt-5-chat-latest,analysis,118,135,0.8741
加粗,gpt-5-chat-latest,community_replication,50,90,0.5556
加粗,gpt-5-chat-latest,control_casual,42,54,0.7778
加粗,gpt-5-chat-latest,control_technical,63,72,0.8750
加粗,gpt-5-chat-latest,creative,66,135,0.4889
加粗,gpt-5-chat-latest,disagreement,3,90,0.0333
加粗,gpt-5-chat-latest,emotional_comfort,19,90,0.2111
加粗,gpt-5-chat-latest,meaning_existential,21,72,0.2917
加粗,gpt-5-chat-latest,procrastination,26,72,0.3611
加粗,gpt-5-chat-latest,refusal,66,99,0.6667
加粗,gpt-5-chat-latest,relationships,27,90,0.3000
加粗,gpt-5-chat-latest,self_doubt,25,90,0.2778
加粗,gpt-5-chat-latest,summarization,75,135,0.5556
加粗,gpt-5-chat-latest,tech_deliberation,134,135,0.9926
加粗,gpt-5-chat-latest,work_study,37,90,0.4111
加粗,gpt-5.3-chat,analysis,67,135,0.4963
加粗,gpt-5.3-chat,community_replication,37,90,0.4111
加粗,gpt-5.3-chat,control_casual,35,54,0.6481
加粗,gpt-5.3-chat,control_technical,62,72,0.8611
