pattern,model,condition,n_hit,n_total,rate
不是_是,gpt-4o-2024-11-20,A_empty,78,483,0.1615
不是_是,gpt-4o-2024-11-20,B_listener,36,483,0.0745
不是_是,gpt-4o-2024-11-20,C_poster,114,483,0.2360
不是_是,gpt-5-chat-latest,A_empty,54,483,0.1118
不是_是,gpt-5-chat-latest,B_listener,72,483,0.1491
不是_是,gpt-5-chat-latest,C_poster,197,483,0.4079
不是_是,gpt-5.3-chat,A_empty,93,483,0.1925
不是_是,gpt-5.3-chat,B_listener,86,483,0.1781
不是_是,gpt-5.3-chat,C_poster,192,483,0.3975
不是_是,gpt-5.4,A_empty,230,483,0.4762
不是_是,gpt-5.4,B_listener,246,483,0.5093
不是_是,gpt-5.4,C_poster,297,483,0.6149
不是_是,claude-opus-4-6,A_empty,68,483,0.1408
不是_是,claude-opus-4-6,B_listener,100,483,0.2070
不是_是,claude-opus-4-6,C_poster,228,483,0.4720
不是_是,claude-opus-4-7,A_empty,60,483,0.1242
不是_是,claude-opus-4-7,B_listener,66,483,0.1366
不是_是,claude-opus-4-7,C_poster,166,483,0.3437
你不是_你只是,gpt-4o-2024-11-20,A_empty,0,483,0.0000
你不是_你只是,gpt-4o-2024-11-20,B_listener,1,483,0.0021
你不是_你只是,gpt-4o-2024-11-20,C_poster,4,483,0.0083
你不是_你只是,gpt-5-chat-latest,A_empty,0,483,0.0000
你不是_你只是,gpt-5-chat-latest,B_listener,0,483,0.0000
你不是_你只是,gpt-5-chat-latest,C_poster,7,483,0.0145
你不是_你只是,gpt-5.3-chat,A_empty,0,483,0.0000
你不是_你只是,gpt-5.3-chat,B_listener,0,483,0.0000
你不是_你只是,gpt-5.3-chat,C_poster,1,483,0.0021
你不是_你只是,gpt-5.4,A_empty,7,483,0.0145
你不是_你只是,gpt-5.4,B_listener,12,483,0.0248
你不是_你只是,gpt-5.4,C_poster,22,483,0.0455
你不是_你只是,claude-opus-4-6,A_empty,1,483,0.0021
你不是_你只是,claude-opus-4-6,B_listener,2,483,0.0041
你不是_你只是,claude-opus-4-6,C_poster,21,483,0.0435
你不是_你只是,claude-opus-4-7,A_empty,0,483,0.0000
你不是_你只是,claude-opus-4-7,B_listener,0,483,0.0000
你不是_你只是,claude-opus-4-7,C_poster,5,483,0.0104
不是_就是,gpt-4o-2024-11-20,A_empty,0,483,0.0000
不是_就是,gpt-4o-2024-11-20,B_listener,0,483,0.0000
